5736	5807	5026
5736	5026	3338
5807	3552	5026
5807	5025	3552
5807	5769	5025
5769	5808	5025
5808	3231	5025
5808	5735	3231
5735	5805	3231
5805	5032	3231
5805	5768	5032
5768	3555	5032
5768	5806	3555
5806	5031	3555
5806	5733	5031
5733	3228	5031
5733	5803	3228
5803	5036	3228
5803	5767	5036
5767	3557	5036
3557	5767	5804
5035	3557	5804
5804	5734	5035
5734	3237	5035
5734	5801	3237
5054	3237	5801
5801	5766	5054
5766	3566	5054
5766	5802	3566
5802	5053	3566
5802	5737	5053
5737	3246	5053
5737	5060	3246
5737	5799	5060
5799	3569	5060
5799	5765	3569
5765	5059	3569
5059	5765	5800
5800	3249	5059
5800	5747	3249
5747	5554	3249
5554	5747	5797
3816	5554	5797
5797	5764	3816
5764	5798	3816
5798	5553	3816
5798	5742	5553
5742	3372	5553
5742	5809	3372
5809	5484	3372
5809	5770	5484
3781	5484	5770
5770	5810	3781
5483	3781	5810
5810	5743	5483
5743	3371	5483
5743	5775	3371
5477	3371	5775
5775	5753	5477
3778	5477	5753
5753	5776	3778
5478	3778	5776
5478	5776	5740
3254	5478	5740
5740	5781	3254
5084	3254	5781
5084	5781	5756
5084	5756	5782
5782	3581	5084
5782	5745	3581
5083	3581	5745
5083	5745	5783
3257	5083	5783
3257	5783	5757
5090	3257	5757
5757	5784	5090
5784	3584	5090
3584	5784	5741
5089	3584	5741
5089	5741	5777
3255	5089	5777
5777	5754	3255
5754	5070	3255
5070	5754	5778
3574	5070	5778
3574	5778	5744
5069	3574	5744
5069	5744	5779
3256	5069	5779
3256	5779	5755
5078	3256	5755
5755	5780	5078
5780	3578	5078
5780	5749	3578
5077	3578	5749
5077	5749	5795
5795	3330	5077
3330	5795	5763
3330	5763	5323
5790	5736	3338
3338	5565	5790
5760	5790	5565
5760	5565	3822
5789	5760	3822
5789	3822	5566
5731	5789	5566
5731	5566	3326
3326	5312	5731
5312	5786	5731
5758	5786	5312
3695	5758	5312
5796	5323	5763
5796	3701	5323
5796	5324	3701
5748	5324	5796
5748	3314	5324
5793	3314	5748
5793	5271	3314
5793	3675	5271
5762	3675	5793
5272	3675	5762
5272	5762	5794
5758	3695	5311
5758	5311	5785
5785	5311	5750
5750	5311	3321
5750	3321	5788
5788	3321	5298
5788	5298	5759
5759	5298	3688
5759	3688	5787
5787	3688	5297
5787	5297	5732
5732	5297	3310
5732	3310	5772
3310	5213	5772
5213	5751	5772
5213	5771	5751
5213	3646	5771
3646	5214	5771
5214	5738	5771
5214	3301	5738
3301	5774	5738
3301	5219	5774
5219	5752	5774
5219	3649	5752
3302	5272	5794
3302	5794	5230
5746	5230	5794
5230	5746	3654
5791	3654	5746
5229	3654	5791
5229	5791	5761
3303	5229	5761
3303	5761	5792
5220	3303	5792
5220	5792	5739
5220	5739	5773
3649	5220	5773
3649	5773	5752
