X,Y,Z
45.214846,-80.837718,-19.502025
39.377331,-72.647642,-40.801951
39.588801,-78.122795,-34.477277
41.857956,-80.306712,-26.909376
33.191337,-61.606918,-42.171862
33.775207,-75.862284,-30.887087
35.935276,-78.684987,-21.761033
39.937081,-79.400234,-9.813610
33.849158,-69.303629,-37.276778
34.472639,-75.805980,-3.363267
30.660491,-76.274850,-16.045676
28.028576,-72.643580,-26.806019
27.416580,-66.038094,-34.063856
24.913378,-57.468727,-40.287187
5.291257,-85.304236,7.153600
20.505695,-87.644926,23.065845
29.199109,-71.904883,21.972229
17.602779,-70.326169,9.957890
10.274487,-94.610822,19.869868
23.878225,-67.710574,14.839498
24.381997,-96.184537,-20.834147
33.620779,-90.202861,-27.620437
14.083001,-98.076330,-13.304520
40.555684,-84.980561,-31.366982
4.996184,-97.297144,-3.820736
-3.239181,-96.708245,-18.696831
-12.950835,-88.293618,-31.373500
-11.287101,-72.113362,-43.612093
3.548897,-59.431530,-48.086786
26.042968,-64.473346,-50.580253
14.288303,-62.023922,-48.977919
35.475514,-68.738957,-51.793791
-5.839189,-60.627993,-39.860585
43.523800,-72.330989,-53.887364
46.619973,-77.383693,-49.557046
47.951547,-80.018971,-40.660773
-3.019948,-60.263783,-43.731511
-6.374913,-93.330673,-13.225096
41.113742,-85.432088,-25.543790
10.523204,-77.006035,4.997322
46.456931,-35.293534,-44.475823
62.338234,-55.013637,3.380116
61.632366,-26.935994,-18.361671
40.032548,-43.732170,-47.982493
54.135074,-26.928307,-35.406146
52.226111,-18.889215,-12.648873
28.591432,-38.342547,-46.442299
43.120801,-16.920660,-30.515266
52.875771,-48.587846,11.740065
55.528885,-43.605867,-46.676952
68.909238,-60.789176,-6.529651
68.255306,-35.829243,-23.537234
49.238255,-50.102713,-50.492689
61.914273,-35.900487,-37.768302
64.965763,-38.729874,-5.417721
54.137847,-31.012599,2.672900
72.386045,-47.456171,-12.868503
36.749782,-26.195794,-43.363776
64.379404,-51.487483,-51.766688
73.678450,-66.476885,-17.971668
73.097177,-44.994592,-28.988562
57.462688,-57.470140,-56.091323
71.867901,-46.771038,-42.643022
76.923908,-54.629924,-24.475591
66.293043,-70.796992,-55.367339
75.941006,-65.684330,-51.271176
77.515577,-71.584429,-30.973230
76.129108,-73.979479,-39.771490
79.861640,-61.326705,-38.653635
66.590561,-76.703687,-17.078692
53.566907,-69.008932,5.305490
45.836964,-63.082287,12.256177
61.545274,-73.077901,-4.302811
47.958333,-84.252032,-21.231599
37.058877,-86.517484,-3.351820
35.486223,-77.419117,-55.742841
28.852229,-96.009096,-10.918482
48.365882,-84.746081,-30.926493
1.374103,-77.869201,-55.372975
31.615785,-88.729831,7.768074
21.343515,-98.365284,-0.634430
7.505565,-100.189082,-25.441738
42.715300,-84.851507,-12.244163
35.890511,-90.340238,-19.565609
14.453608,-77.444172,-57.003309
39.016196,-85.502504,-38.430578
30.488136,-91.853999,-34.515558
27.091263,-76.672715,-56.609992
33.098587,-51.960159,-48.098849
42.279931,-58.467885,-51.023152
22.376156,-47.897537,-46.399409
49.786244,-67.392540,-54.263929
18.827664,-99.184935,-31.228139
44.697906,-79.008849,-1.109247
-2.128801,-94.124642,-45.236597
37.016453,-74.667937,7.523491
25.940446,-87.342555,-49.707418
51.523228,-80.952554,-10.764872
36.157827,-83.276852,-50.969433
10.728331,-92.727662,-48.199375
56.165251,-80.838621,-41.488760
56.777779,-75.089997,-52.744550
1.025112,-70.083160,-15.778313
8.450799,-50.415025,-3.833677
14.987528,-45.861870,4.163125
5.826336,-49.385543,-14.726024
4.031639,-57.149510,-25.167238
8.678111,-52.066342,-3.880784
17.701794,-52.123440,7.440812
17.773086,-66.713399,17.983666
2.909688,-64.164777,-18.294237
1.384696,-54.137303,-12.578649
6.814200,-52.260236,-0.792084
15.258264,-53.031453,8.740239
17.152640,-61.751211,7.037668
4.459925,-63.050632,-8.325309
5.202216,-61.599466,-14.907530
19.490231,-60.458527,2.284761
10.580634,-67.169633,-6.830533
-2.162909,-74.010123,-15.861856
9.771427,-75.266530,20.695404
13.284690,-70.188584,18.254000
0.799141,-82.700160,-5.405302
24.021646,-65.229067,19.846889
9.851926,-69.202142,-4.671590
5.888068,-53.135451,-17.384516
5.695467,-57.172165,-23.492858
4.456625,-65.359140,-15.687276
7.683238,-71.815691,-7.862619
24.942496,-57.619436,9.699883
13.863796,-70.779477,1.587698
23.513494,-63.244334,10.561632
18.872806,-43.787275,11.389066
25.597550,-48.920638,13.373115
4.236111,-45.837036,-20.742848
3.615978,-51.148064,-31.907568
4.040080,-47.623026,-28.277506
4.493871,-50.591232,-31.774892
1.403728,-51.888300,-37.147753
2.696846,-38.832963,-25.568521
6.220932,-47.271346,-39.944915
7.075474,-40.096869,-39.018393
26.275181,-72.998942,27.440432
22.335071,-38.029883,13.753785
40.102556,-42.060137,17.905904
37.463361,-56.231497,17.719225
34.318517,-67.095912,18.974758
5.600907,-32.217720,-28.072388
16.524026,-18.865188,-16.915904
19.023906,-19.361497,-6.986890
41.004951,-25.548074,7.558431
36.766360,-11.491087,-7.270827
28.227326,-9.656158,-25.625164
14.707820,-33.684943,-45.970715
9.398796,-25.072853,-26.697866
23.774048,-24.668352,6.788863
20.315799,-16.897004,-39.133327
-12.151162,-68.575895,-41.010448
-9.505317,-74.558955,-51.800363
-7.988242,-94.863939,-11.655975
-8.225916,-80.326070,-20.760508
11.506988,-44.756664,-44.888239
-12.680222,-94.912240,-41.064872
-14.127620,-78.669891,-29.535429
12.866094,-84.268670,29.791029
26.056923,-90.256908,17.721964
13.730978,-98.338494,8.783228
8.396841,-80.848545,24.030029
19.131339,-82.745570,31.661637
4.398159,-84.751084,6.632289
16.747353,-69.977977,8.173466
10.171985,-75.634973,4.646406
24.197614,-66.106546,14.797218
20.502296,-90.536860,25.560841
31.362653,-71.032478,23.589611
9.823192,-96.647057,21.441119
0.680902,-94.803609,8.022695
-13.573743,-72.122852,-45.413000
-15.264482,-89.391136,-30.492938
-5.015158,-100.491550,-18.001857
4.168191,-99.964586,-2.666877
13.516225,-100.226243,-12.532955
23.769096,-98.289874,-20.506183
33.386409,-91.912707,-26.894517
57.745571,-83.533222,-30.239320
40.079504,-86.335559,-30.988796
67.659128,-79.932529,-28.825190
66.792791,-80.518111,-41.383450
56.364914,-82.399169,-19.538548
12.843469,-60.418181,-51.800805
1.631183,-57.599316,-51.727795
25.005741,-63.524500,-52.372086
34.498451,-67.683467,-53.621727
43.796992,-72.050594,-55.559785
48.019814,-80.981673,-40.494462
46.449856,-78.570015,-50.694427
-6.757788,-59.303483,-41.579625
-4.382247,-58.692016,-45.955230
40.746044,-86.971982,-24.938741
