X,Y,Z
74.968249,-52.381506,-57.319219
-1.505291,-33.102235,-19.321997
-0.417978,-29.089551,-21.102975
9.842936,-15.726786,-13.280869
13.563422,-17.227789,-4.084072
1.085394,-45.799692,-0.337243
35.505616,-22.381022,7.653478
32.764603,-9.020586,-6.778136
51.381974,-35.683041,-43.196093
77.840095,-67.241714,-25.840909
71.153474,-79.410040,-49.149530
62.576550,-53.803527,-2.817842
78.734252,-46.586956,-37.074738
63.084888,-26.571759,-22.986693
66.602927,-60.175339,-62.247731
45.644524,-46.225561,-47.404217
26.139622,-8.112664,-22.496233
71.400403,-81.096219,-38.664207
79.520978,-48.742300,-47.412851
58.000004,-28.831461,-35.218107
7.403006,-41.968153,8.132138
-0.189545,-44.543443,-9.823334
2.677024,-48.631245,-0.550454
11.688131,-48.109391,11.450068
-4.341346,-52.645050,-5.374558
-0.969082,-49.789227,4.553862
6.849144,-49.535060,13.477655
10.020002,-57.937133,11.602010
-0.952896,-58.848962,-2.929724
0.517717,-59.110984,-8.448364
13.452822,-56.810544,7.098342
4.596440,-63.240247,-3.824770
12.669947,-32.292116,13.421170
33.464612,-40.771569,15.917441
5.677960,-65.161340,0.924549
49.668080,-17.621334,-14.308856
30.978396,-40.142853,-41.272066
43.429223,-17.578140,-28.537948
50.002670,-46.548203,7.348802
63.671890,-44.938989,-49.747795
71.123469,-61.821012,-14.651590
72.536361,-38.270096,-30.807116
57.223692,-52.937951,-55.277334
67.605872,-38.528392,-40.457976
15.987482,-35.282441,-40.322899
2.452420,-47.844588,-12.750571
8.289212,-38.507673,-33.225940
32.437368,-52.541605,12.073286
19.990024,-54.806518,8.685084
4.406268,-22.050028,-19.061347
81.393347,-55.676075,-31.609648
65.034314,-37.285163,-10.869680
14.904479,-24.676116,8.654767
71.205976,-72.892759,-59.547694
83.122125,-63.732501,-60.006870
52.284489,-28.726962,-1.399368
74.091219,-47.315074,-21.459825
70.132588,-78.770753,-26.910228
52.740618,-69.426539,-1.946208
41.641057,-61.652054,8.257408
63.506386,-73.919624,-14.129038
12.014294,-38.146174,13.265665
21.801967,-44.782463,13.308866
-1.702365,-40.439325,-15.309178
-0.032641,-41.203841,-21.688906
38.555111,-25.940489,-38.665692
19.269439,-14.703350,-33.357630
81.078073,-72.448551,-39.512569
79.750593,-76.102155,-45.932011
85.283369,-60.888470,-44.587094
19.244069,-44.591250,-33.062195
7.144509,-52.518038,-22.093008
11.846312,-46.231941,-30.188446
6.924089,-49.211034,-25.562202
9.669088,-58.160472,-14.759032
16.198947,-58.237163,-0.720800
13.308895,-59.366277,-7.244850
30.582645,-63.568011,3.497359
22.884881,-58.092709,0.653790
21.492784,-60.963233,-9.458344
28.817866,-63.463178,-11.316749
18.702208,-56.634890,-19.184794
26.684067,-61.019657,-21.470183
16.731633,-52.846611,-25.517139
24.319218,-53.189694,-28.783374
57.248992,-79.389562,-42.819420
56.846834,-64.547758,-54.993570
60.550907,-81.658567,-35.584720
56.946821,-72.429753,-51.780642
61.171525,-80.117555,-27.803800
48.769822,-61.315121,-50.335630
56.073486,-79.310969,-21.349311
50.416489,-79.359176,-29.880175
47.882255,-76.023422,-38.125431
47.630183,-69.175685,-45.117058
39.567272,-55.051124,-43.356153
40.580129,-71.577923,-32.923854
42.657465,-75.774858,-22.971667
46.322192,-75.593743,-9.393998
39.046799,-64.833347,-39.089903
37.332185,-69.199779,-1.505824
34.942056,-70.350794,-15.310789
33.826818,-66.545744,-27.403690
32.773198,-58.868699,-33.266075
30.436826,-47.875706,-36.193168
54.487689,-90.091059,-26.993003
-4.688637,-72.792678,-7.147448
-17.749150,-70.652941,-32.694815
-3.527925,-51.330638,-31.792739
-10.230466,-76.697713,-49.765940
38.191316,-90.423235,-6.401112
45.220529,-82.174532,-65.796055
2.119664,-45.528961,-36.058319
31.801823,-99.587480,-14.574161
-1.003032,-56.878110,-19.283499
