X,Y,Z
60.697980,-51.709021,-65.858857
-8.500159,-42.027122,-17.755548
-8.695936,-37.885168,-20.475189
1.670962,-20.906581,-16.460086
8.707782,-19.533931,-7.506270
1.992116,-50.714084,2.549027
39.455034,-14.021793,0.940932
26.736300,-7.269577,-15.558097
36.841344,-36.348148,-51.141948
79.495836,-57.150320,-34.178523
66.269701,-75.906995,-54.222868
71.754508,-42.536170,-9.629397
71.382871,-40.397117,-48.257198
56.086615,-21.667098,-35.269239
51.730878,-60.999536,-67.309284
31.303517,-48.450639,-51.022527
11.832648,-11.859116,-31.119872
71.403965,-74.736432,-42.868830
68.394159,-44.991305,-58.149883
45.766355,-27.065141,-45.786062
10.347676,-43.329198,10.410177
-2.291239,-49.939608,-7.190324
4.235044,-53.044079,1.880420
16.122751,-47.488680,12.526353
-5.691738,-59.347548,-2.529375
0.434034,-54.985844,7.311731
10.852083,-50.888520,15.007093
15.867305,-58.657620,13.713060
0.279445,-64.057320,0.358842
1.659317,-62.453809,-6.315620
20.203419,-56.138282,8.806458
8.398575,-65.502411,-0.960152
17.297238,-30.164116,12.886877
44.225661,-31.495961,12.686874
10.650336,-67.589254,4.393465
43.584650,-13.840338,-25.925036
15.729141,-44.990307,-45.614404
30.488114,-17.541965,-38.060867
59.992531,-36.269101,1.077306
49.663012,-44.851737,-57.115833
77.415616,-51.276757,-21.805780
65.517947,-32.576931,-42.318389
42.856796,-54.421617,-58.557559
56.230986,-35.582310,-50.256832
0.130993,-43.383814,-43.237732
-0.180839,-52.387231,-11.069457
-3.457359,-46.768567,-34.163443
44.406730,-44.070983,10.779385
28.251906,-51.844360,9.285906
-4.164474,-28.847645,-20.943260
77.974375,-47.292282,-42.740442
66.180603,-28.362698,-22.045039
15.869649,-22.788899,6.086488
60.414329,-71.322201,-64.800196
71.499605,-61.950817,-70.408777
54.697799,-20.784674,-10.793748
73.774159,-38.573708,-32.247241
74.349543,-69.864890,-31.185875
65.437497,-60.255605,-4.007323
55.384739,-52.149060,6.222112
72.374822,-64.565623,-17.206609
16.875755,-36.429300,14.317777
29.422274,-39.659968,13.374287
-6.719783,-47.795944,-13.167446
-7.239739,-48.567111,-20.866659
22.438118,-28.492612,-47.094205
2.409908,-21.186584,-39.910104
78.894218,-65.114352,-48.712692
77.428196,-70.426339,-54.263242
78.837926,-54.712913,-55.066584
8.687062,-50.037150,-34.908399
2.866659,-57.642820,-21.192828
2.905224,-52.676471,-30.289531
0.595539,-55.280267,-25.297074
9.573118,-62.134090,-12.972893
21.542312,-59.465597,0.447847
16.750861,-62.829215,-5.857261
41.159861,-58.727428,3.714246
30.225351,-56.651673,1.026228
24.977282,-62.938336,-8.546735
33.080729,-63.096685,-10.630595
16.902060,-60.266433,-18.973943
25.349296,-62.608119,-20.797226
11.193359,-57.004681,-25.400172
17.931410,-56.173576,-29.394281
54.346910,-76.204778,-43.947692
45.972496,-64.353445,-56.734466
61.170552,-76.453519,-37.182456
49.576457,-70.680823,-53.050658
64.919531,-73.473489,-29.803427
39.453815,-61.245759,-50.144784
61.892746,-73.328467,-22.110463
52.352755,-75.488313,-29.596319
46.257255,-72.649046,-37.232227
41.834939,-66.954770,-43.984097
29.798798,-55.915025,-43.374878
39.465793,-68.785315,-31.072806
