X,Y,Z
72.321411,-55.352108,-48.515773
-2.227883,-36.609361,-22.563175
-0.912478,-32.534125,-23.058321
9.597660,-20.360144,-13.799341
15.862220,-20.216487,-3.774366
3.047340,-49.069702,-3.176629
45.001902,-20.436224,12.541368
37.513963,-10.074852,-3.573658
49.623274,-35.389919,-38.822047
81.465591,-66.655362,-18.091341
70.030652,-79.906496,-42.885300
72.340164,-53.561323,4.161624
80.658778,-48.069168,-28.085670
67.315110,-27.788181,-16.163681
61.349033,-62.015045,-53.408885
41.290172,-46.126431,-43.031627
25.855192,-10.315734,-21.927231
72.562253,-80.311997,-31.185567
78.585396,-51.099638,-38.344897
58.279282,-28.536269,-29.432743
10.348944,-45.333275,6.939538
-0.706861,-47.161301,-14.155994
4.557890,-51.368901,-3.442582
14.900635,-49.830189,10.233956
-5.638300,-55.380472,-10.373504
0.514256,-53.062385,2.094934
9.724794,-52.421112,11.600167
13.137220,-60.260937,9.641398
-1.614622,-61.262454,-7.153994
-1.961453,-59.043384,-15.863128
16.973790,-57.592370,5.025876
3.969742,-63.553017,-8.695458
18.870739,-34.850924,14.685466
44.120496,-39.612713,20.608377
6.028968,-66.765358,-3.050769
55.305368,-19.233450,-10.438160
26.048872,-40.284721,-42.402590
44.056341,-18.705284,-24.175496
60.816540,-46.497085,13.296632
61.324884,-46.333397,-42.247219
78.440251,-61.555726,-6.645334
75.175879,-39.664438,-22.631074
52.504856,-53.455667,-47.044110
67.941168,-39.763026,-32.502848
9.717918,-35.614829,-44.342759
0.661908,-49.116212,-18.234425
3.656954,-39.716705,-38.122470
42.421152,-52.882957,17.169058
25.713398,-55.635124,9.275428
4.360362,-25.889048,-20.409551
84.200911,-56.499917,-23.659058
73.158952,-37.890987,-3.824250
19.493285,-25.776174,10.139501
67.539152,-73.656235,-51.462156
81.389775,-66.703045,-52.539818
61.431497,-29.137482,5.060114
80.047527,-48.117018,-13.118469
73.282636,-77.241703,-19.602922
61.999906,-69.554173,4.235956
52.088501,-61.377874,13.047086
69.963502,-73.791668,-6.547864
17.133584,-40.655674,13.703887
28.251935,-44.824199,15.480288
-3.266813,-43.400507,-19.794312
-3.576193,-42.513113,-27.556206
36.052163,-25.512355,-37.292182
17.043331,-16.336368,-33.902370
82.948071,-73.331213,-32.801419
83.793191,-77.112151,-39.726165
86.751183,-62.880308,-35.342876
15.919673,-45.629178,-36.190899
4.952951,-52.532654,-27.107712
8.473116,-47.176099,-33.936174
4.011035,-49.671208,-31.224688
9.346246,-58.775672,-18.901948
19.685039,-58.914477,-2.731414
15.316873,-60.878421,-10.559654
37.822761,-64.075603,5.766677
28.143695,-59.038523,0.727836
24.172410,-62.305371,-10.328688
32.286844,-64.400582,-10.039207
18.767916,-58.121992,-21.510298
26.902253,-61.431185,-20.967491
15.037759,-53.508533,-28.239337
22.446214,-53.742810,-29.940144
55.975962,-77.261746,-35.665566
53.221976,-63.931742,-46.234396
60.877551,-79.861829,-28.987728
54.597269,-70.718879,-43.111456
63.520639,-79.003651,-20.944984
46.208772,-59.720379,-41.777916
59.307842,-79.121585,-14.851319
51.551223,-78.036280,-24.099965
48.119829,-72.990360,-31.236971
46.491767,-66.157875,-36.910658
37.239136,-53.669240,-37.878155
41.261123,-68.709963,-26.951196
44.052483,-75.367780,-18.848901
51.936208,-76.680557,-4.930934
38.416359,-62.155113,-32.927605
44.281811,-70.209455,1.570222
37.719986,-70.998624,-12.850905
34.133092,-65.192852,-24.202556
31.052278,-57.978501,-30.592133
26.695326,-48.733634,-36.703496
57.200071,-88.562621,-21.814063
-7.640407,-70.203266,-20.739902
-23.242218,-67.841405,-49.518071
-8.145301,-50.719068,-43.952595
-19.211162,-77.432299,-57.172342
45.923222,-87.817575,-3.436996
33.525363,-83.808764,-62.883981
-2.911304,-46.276559,-43.610533
33.342751,-95.970174,-11.939325
-4.238680,-55.154616,-30.434917
9.259344,-81.671248,34.932584
26.207734,-71.123396,37.022573
15.492025,-66.485759,26.689744
-6.131947,-62.898560,-23.478219
-3.721839,-94.279955,8.970551
32.884488,-89.667025,19.961426
-19.575236,-80.723750,-28.448632
55.601124,-89.180800,-33.569865
-11.526152,-74.370746,-21.597511
4.115288,-74.666147,27.959718
8.404387,-69.900028,25.128978
-6.652234,-83.423388,-6.697784
16.617048,-98.082020,9.464349
3.114778,-79.896769,30.554637
18.320653,-78.951606,38.149014
22.066256,-64.115639,29.292359
-7.152329,-81.843581,-60.517489
38.194288,-87.753933,8.536586
25.789556,-99.290121,-0.843826
