X,Y,Z
75.424283,-85.422662,-66.611115
10.759736,-17.789335,-24.178008
13.320063,-14.520424,-27.123914
29.897297,-1.908687,-22.695279
35.231888,-1.810033,-13.815823
12.762635,-27.070877,-3.727854
64.424369,-13.700081,-4.090474
62.515561,-4.169879,-22.762755
61.118070,-52.036324,-53.748259
79.657864,-93.648707,-29.704586
59.104315,-108.883831,-47.959998
76.232016,-65.818485,-8.836269
86.765870,-75.656463,-47.512393
82.725129,-43.593593,-37.633157
60.587520,-91.158852,-66.913157
48.636769,-61.237166,-53.399154
51.245014,-5.117195,-37.793625
62.144115,-108.409763,-37.734137
84.086686,-80.875741,-57.337305
73.432138,-46.232559,-48.362108
21.970913,-23.516704,5.189826
9.599193,-27.149215,-13.065419
13.389954,-30.385553,-4.214075
23.794739,-29.761842,7.860849
1.492035,-32.297073,-9.622146
8.375494,-29.296540,0.537041
17.736520,-29.664558,9.167628
17.956960,-39.261769,8.558135
3.135288,-38.945337,-5.732785
3.747661,-40.669441,-10.981527
22.532449,-40.338889,5.204295
7.542747,-45.456729,-4.615905
33.302090,-13.668960,8.647031
55.334758,-30.593974,10.533207
8.658005,-46.565971,-0.234263
74.795179,-25.533440,-30.061625
37.661378,-46.229809,-45.910278
64.257989,-26.424824,-41.651818
68.203959,-48.600528,0.483503
67.953789,-69.098791,-58.944236
78.430633,-82.004646,-19.516745
85.511508,-62.298363,-43.019358
55.778548,-76.040832,-61.419844
77.733267,-62.578427,-51.682054
24.828543,-33.241270,-46.235274
10.219910,-31.501988,-16.427566
16.114556,-30.947394,-38.563845
47.851799,-45.123485,9.822387
31.330294,-41.850763,7.053638
21.171813,-7.741869,-27.060785
87.104938,-84.905317,-39.958602
84.095660,-51.919362,-22.451815
37.078065,-6.345880,1.386139
59.869627,-105.670839,-59.943988
76.612250,-103.775220,-66.382419
76.323817,-33.868978,-14.600729
85.985229,-70.122240,-31.464041
65.579492,-102.597929,-26.414530
58.502861,-78.133547,-1.995250
52.502536,-60.870733,6.922500
64.503642,-91.240921,-13.482635
29.869712,-20.278645,9.671446
38.053060,-30.254786,11.172028
8.071699,-23.757842,-19.145845
7.751260,-26.228209,-26.785974
53.247248,-35.124340,-48.812089
39.091663,-11.510315,-45.878263
76.045617,-105.590199,-43.398657
71.091857,-110.492357,-47.701422
85.621645,-96.492914,-51.760739
25.852181,-41.939238,-35.475984
11.699911,-40.901236,-23.863475
17.892590,-39.163137,-32.197882
12.242777,-38.941395,-28.417264
13.355664,-46.060453,-14.772381
23.572503,-44.677844,-2.093204
18.279674,-46.967740,-7.506141
38.111539,-58.804138,4.199121
31.524239,-48.582697,-0.392522
26.164963,-53.773988,-9.155525
32.129165,-61.906173,-10.356057
23.112402,-50.069582,-19.180119
28.790916,-59.803040,-20.543214
21.484412,-46.373378,-25.896608
28.653385,-51.641818,-29.450217
47.491499,-100.130514,-40.119355
50.805761,-88.435140,-57.088123
51.325609,-102.565041,-32.895840
48.671992,-95.623256,-51.137483
54.899915,-99.888144,-25.567389
45.492837,-79.429531,-52.300804
51.246885,-95.324796,-18.312451
43.396904,-94.540911,-26.607301
41.205727,-91.234112,-35.512331
42.230010,-85.732913,-44.485294
40.583868,-65.946191,-44.947577
36.895059,-81.139943,-30.377671
37.939214,-85.342159,-19.661906
45.239862,-84.057992,-6.834624
37.020599,-74.483936,-38.144213
41.087949,-70.565055,0.094282
33.835851,-74.234022,-12.915747
32.677578,-71.049791,-25.727643
33.633349,-63.488551,-33.183923
34.698049,-52.039830,-38.790711
42.908796,-105.769516,-21.695783
-7.599201,-52.731773,-8.813820
-23.967377,-52.767620,-33.845864
-0.333087,-38.101227,-37.590502
-22.582480,-67.691957,-40.540293
32.555739,-93.270951,-0.236208
24.846739,-105.793006,-60.868702
6.954820,-36.711158,-40.025973
19.582459,-102.209825,-4.058229
1.801208,-40.715532,-24.074764
4.014049,-55.482671,48.057837
25.658364,-50.519601,39.930919
17.934917,-43.285397,30.495014
-2.583198,-45.797156,-14.943703
-15.477290,-70.130895,27.727864
21.772448,-79.023010,28.259636
-24.582013,-62.578947,-9.866003
40.925127,-109.074918,-32.835781
-14.260665,-56.867729,-6.594658
2.893011,-46.823078,38.868642
9.557449,-44.203851,32.330234
-13.300639,-63.300853,8.396575
2.406534,-85.881866,24.528764
-1.044848,-51.738956,43.951046
14.605198,-55.542629,47.932977
25.183092,-42.941411,30.011809
-13.414940,-81.477840,-50.546088
26.759570,-85.216496,13.956986
10.424581,-95.129111,10.836442
-11.408584,-97.000731,-13.157377
38.971641,-100.060678,-11.341333
29.046526,-106.842305,-16.676678
1.450173,-91.735871,-56.089701
30.226770,-108.785602,-40.554537
18.515074,-111.453200,-33.348920
16.043018,-98.933506,-59.516728
3.054268,-41.359646,-21.709690
36.909827,-66.449373,-54.834120
44.747284,-80.648627,-62.029046
25.659097,-51.703054,-50.124802
14.411018,-39.933946,-46.822016
49.525037,-97.325581,-64.784056
2.248155,-106.330488,-22.939856
-1.331051,-47.551282,-10.551932
0.687187,-54.306276,-1.169053
54.119861,-105.758058,-25.294460
-33.465357,-83.384901,-23.988732
46.122712,-86.624948,-0.054409
-31.614998,-60.255983,-19.367390
49.628828,-109.232834,-46.030729
52.087891,-109.601939,-33.069792
-21.741617,-92.481608,-32.618276
39.583984,-71.803767,10.137988
12.368781,-108.834714,-49.934111
51.114035,-96.978164,-12.237836
25.579923,-110.923316,-54.324976
10.530500,-52.846053,8.039400
-6.135163,-102.600254,-43.027135
53.255368,-107.197913,-59.471813
25.877012,-46.859034,14.625611
37.552100,-56.815117,22.323366
2.336433,-36.482231,-32.000163
4.227565,-36.461627,-31.213794
11.409146,-46.866200,-34.349591
4.556041,-48.283070,-24.210549
16.904010,-50.950524,-39.268154
5.733402,-45.277184,-30.761773
6.031707,-53.188503,-13.708086
7.906399,-59.365202,-3.438034
12.455326,-57.515482,5.345188
20.840831,-59.514766,7.244582
28.340873,-66.595320,8.622001
16.550516,-61.998839,-6.087308
21.505333,-70.664773,-6.675355
14.238640,-57.528402,-17.334166
17.938518,-66.855824,-20.629772
12.549659,-54.011753,-25.533444
18.581007,-61.449283,-29.357245
44.248736,-92.931498,-53.913598
45.070250,-102.417990,-25.101975
40.339794,-100.983974,-39.353408
43.591522,-104.642751,-31.410248
43.141617,-98.437589,-49.508654
37.937662,-85.344085,-52.530067
41.347024,-98.569684,-18.033084
35.390089,-91.845328,-43.830051
33.877919,-95.574287,-34.236956
36.330248,-97.283088,-25.731080
32.033503,-74.005719,-47.096884
28.121642,-86.632533,-28.325983
30.229878,-88.840565,-18.126549
37.048403,-89.557327,-5.454769
29.984787,-82.233699,-38.701503
33.376933,-78.018381,2.559309
25.367880,-80.000146,-10.390652
22.548355,-77.407973,-22.731476
23.877350,-71.796605,-33.255667
24.340078,-61.513806,-42.053678
-8.295659,-62.866933,23.679313
14.454162,-70.622363,39.188746
31.236245,-56.149278,30.179308
15.929645,-49.990851,19.358862
